,cumnum,number,level,control_name,root,leaf,compliance_pct,compliance_status,severity,impact,frequency,weight
94,121000,12.1,2,pl-01 security planning policy and procedures,False,1,-1,non-determinant,critical,critical,low,5
95,122000,12.2,2,pl-02 system security plan,False,1,55,fail,medium,medium,medium,4
96,123000,12.3,2,pl-08 information security architecture,False,1,-1,non-determinant,medium,medium,critical,7
41,130000,13,1,personnel security,True,0,-1,,,,,-1
97,131000,13.1,2,ps-01 personnel security policy and procedures,False,1,66,fail,low,low,high,4
69,132000,13.2,2,ps-03 personnel screening,False,1,66,fail,critical,critical,medium,7
80,133000,13.3,2,ps-04 personnel termination,False,1,-1,non-determinant,low,low,low,1
44,134000,13.4,2,ps-05 personnel transfer,False,1,-1,non-determinant,high,high,low,4
70,135000,13.5,2,ps-06 access agreements,False,1,-1,non-determinant,medium,medium,high,5
42,136000,13.6,2,ps-07 third party personnel security,False,1,-1,non-determinant,critical,critical,high,9
4,140000,14,1,risk assessment,True,0,-1,,,,,-1
98,141000,14.1,2,ra-01 risk assessment policy and procedures,False,1,-1,non-determinant,high,high,medium,5
112,142000,14.2,2,ra-05 vulnerability scanning,False,1,-1,non-determinant,high,high,medium,5
43,143000,14.3,2,ra-05-(02) vulnerability scanning | update by frequency / prior to new scan / when identified,False,1,100,pass,high,high,medium,5
111,144000,14.4,2,ra-05-(05) vulnerability scanning | privileged access,False,1,-1,non-determinant,critical,critical,low,5
15,150000,15,1,system and service acquisition,True,0,-1,,,,,-1
50,151000,15.1,2,"sa-01 system and services acquisition policy and
procedures",False,1,59,fail,high,high,low,4
16,160000,16,1,system and communications protection,True,0,-1,,,,,-1
99,161000,16.1,2,"sc-01 system and communications protection
policy and procedures",False,1,100,pass,high,high,high,7
52,162000,16.2,2,sc-07-(04) boundary protection | external telecommunications services,False,1,66,fail,low,low,medium,3
45,163000,16.3,2,sc-13 cryptographic protection,False,1,100,pass,medium,medium,high,5
53,170000,17,1,system and information integrity,True,0,-1,,,,,-1
100,171000,17.1,2,"si-01 system and information integrity policy and
procedures",False,1,100,pass,medium,medium,medium,4
54,172000,17.2,2,si-02 flaw remediation,False,1,84,fail,high,high,low,4
46,173000,17.3,2,si-02-(02) flaw remediation | automated flaw remediation status,False,1,100,pass,high,high,low,4
55,174000,17.4,2,si-03 malicious code protection,False,1,-1,non-determinant,low,low,medium,3
51,175000,17.5,2,si-04 information system monitoring,False,1,-1,non-determinant,low,low,high,4
56,176000,17.6,2,si-04-(04) information system monitoring | inbound and outbound communications traffic,False,1,-1,non-determinant,low,low,low,1
47,177000,17.7,2,si-04-(14) information system monitoring | wireless intrusion detection,False,1,64,fail,high,high,medium,5
57,178000,17.8,2,si-06 security function verification,False,1,-1,non-determinant,high,high,critical,9
48,179000,17.9,2,"si-07-(01) software, firmware, and information integrity | integrity checks",False,1,55,fail,high,high,medium,5
58,180000,17.10,2,si-08-(01) spam protection | central management,True,0,-1,,,,,-1
49,181000,17.11,2,si-08-(02) spam protection | automatic updates,False,1,100,pass,high,high,critical,9
